,,title,description,skill
ss,161,Managing Employee Development,"A key aspect of managing is developing your employees, which involves not only coordinating their work but also empowering them and providing opportunities for growth. This course details tactical strategies for developing your employees including assessing their development needs. Also covered are methods for creating a development plan with your employees based on their individual requirements, and ways to support the development plan by creating opportunities for practice and growth in skills and abilities. This course also introduces ways to continue supporting employees through follow up and monitoring, and ongoing and timely feedback.",People Development
ss,165,Managing Multigenerational Employees,"Many influences have shaped the lives and work experiences of various generations, namely, Baby Boomers, Generation X, Millennials, and Generation Z. Because each generation has its own distinct attitudes, priorities, and work habits, managers can get the best from each generation by using strategies that recognize the differences. In this course, you'll learn about the best practices and successful techniques for managing these generational employees in the workplace.",People Management
ss,177,Motivating Your Employees,"Motivation is what drives people to accomplish things. Without motivation, things simply would not get done. As a leader, your capacity for motivating plays a key element in the success of your organization. This course provides you with an understanding of why motivating strategies are important as a leader. It also provides you with practical techniques for encouraging motivation among employees in your organization.",Leadership
ss,178,Communicating Vision to Your Employees,"Leaders should strive to communicate vision with a sense of integrity, building trust as individuals and as leaders. This course provides a general introduction to vision communication, including its nature and its purpose. You will be guided through numerous techniques and methods for a leader to successfully communicate vision, such as personalizing and multiplying a clear message, communicating enthusiasm in an authentic way, and making the organization's vision the employees' own vision.",Leadership
ss,179,Leading through Positive Influence,"An effective leader recognizes that organizational politics can provide positive ways to influence others in order to accomplish goals. In this course, you will be guided through numerous methods and strategies for effectively influencing a team to accept your ideas. You'll be introduced to the importance of political awareness and the essential skills involved in using positive politics and avoiding negative politics when persuading others. You'll also have an opportunity to practice methods for influencing effectively and ethically.",Leadership
ss,180,Leveraging Emotional Intelligence,"Leaders with a strong mixture of emotional awareness, self-management, and social skills navigate relationships more effectively and are more likely to be successful in their personal and professional lives. This course provides you with an understanding of why emotional intelligence abilities are important to you as a leader. It also provides you with practical, positive techniques for promoting and improving emotional intelligence as a leader within your business environment.",Leadership
ss,181,Key Elements of Business Execution,"Business execution is the 'how' of getting things done. As a leader, you must be skilled in driving strategy in the right direction through business execution. In this course, you'll learn about techniques for fostering a business execution culture. You'll also learn about characteristics of business execution cultures. Finally, you'll learn about the three main elements of business execution: planning, people, and practice.",Leadership
ss,182,Building Innovation Cultures and Leaders,"Innovation is a critical component of just about every organization. Building and supporting an innovative culture is a responsibility for leaders and employees across organizational hierarchies. In this course, you'll learn about business innovation cultures and types of innovation leadership. You'll also learn about the importance of committing to aspects of innovation, including experimentation, risk management, and project execution. Finally, you'll learn how to attract and nurture innovation in your organization.",Leadership
ss,183,Leading Your Team through Change,"Change is not an event; it is a process. It's important to recognize that your role is to support individuals through the transition and remove obstacles that can hinder a smooth transition from one process to another. In this course, you'll learn about types of resistance and obstacles to change and how to overcome them. You'll also learn about how to overcome barriers to introducing change at your organization. Finally, you'll learn effective approaches for communicating change.",Leadership
ss,184,Building a Leadership Development Plan,"Creating your own leadership development plan is a significant part of any successful and valuable leadership development strategy. This plan will help ensure you remain focused on what is required to continually grow and develop as a leader. In this course, you'll learn about how to assess yourself as a leader, establish a vision for the future, and identify obstacles to that vision. You'll also learn about practical approaches for setting objectives, identifying appropriate actions, and sustaining your leadership development plan. Finally, you'll learn how to evaluate your plan.",Leadership
ss,185,Aligning Unit Goals and Imperatives,"Getting your priorities straight, no matter where you are in your organization, is about keeping a focus on your goals. It requires you to think about the bigger picture to ensure your department's work effectively supports the strategic objectives of your organization. In this course, you'll learn about the importance of setting strategic, tactical and operational goals. You'll also learn how to create effective unit goals and align them with company goals. Finally, you'll learn how to identify imperatives for action that keep you focused on meeting your objectives.",Leadership
ss,189,Becoming an Inspirational Leader,"People are inspired when they trust their leaders and are mobilized by common goals. When you strive for inspirational leadership, you demonstrate credibility and create a community with a shared vision. In this course, you'll learn about the characteristics people look for in an inspiring leader. You'll also learn about traits and behaviors that inspirational leaders exemplify. Finally, you'll learn about the role of clear, credible, and persuasive messages in inspirational leadership.",Leadership
ss,190,Assessing Your Own Leadership Performance,"Monitoring your own progress as you develop is a simple and effective way to ensure success in your role. Knowing how to self-assess your leadership skills and competencies is important if you want to chart your development and plan your future growth as a leader. In this course, you'll learn about techniques leaders can use to carry out a self-assessment, such as reflective journaling, surveys and checklists, and 360-degree feedback. You'll also learn ways to increase your motivation and manage your own learning by creating a leadership development plan.",Leadership
ss,191,Gender and Leadership,"While women are a very much a minority at the highest levels of leadership, more women hold leadership positions now than ever before in our history. The traits that are typically associated with leadership - assertiveness, trustworthiness, intelligence - are just as common in women as they are in men. What are the obstacles that women face on their path to leadership? This course will examine the issues facing women leaders and you'll learn about how to change your personal views to help overcome these issues, including why gender still matters. You'll also learn how to develop competence, confidence, and a personal brand.",Leadership
ss,192,Choosing to Lead as a Woman,"It's generally agreed that women and men equally share key leadership traits such as intelligence and capacity for innovation; however, women leaders are often viewed as more compassionate and better organized. In this course, you'll explore how to capitalize on your natural strengths to enhance your leadership skills, and communicate and network effectively.",Leadership
ss,193,Career and Family Challenges for Women Leaders,"Women face unique challenges in the workplace, including the difficulty in balancing work and family. Their experience in running both a family and a career also provides them with unique value and perspective. In this course, you'll learn how to conquer some of the challenges of career and family, including building a support system, overcoming the perfection mindset, and reframing your limiting beliefs.",Leadership
ss,194,Establishing Effective Virtual Teams,"Building a solid team is enough of a challenge when everyone is in the same location. Virtual teams require even more commitment. In this course, you'll learn about remote management and tactics for communication, assessment, and meetings.",Leadership
ss,195,Facing Virtual Team Challenges,"Virtual teams can face the same difficulties as other teams, but also have unique challenges. In this course, you'll learn how to handle challenges facing your team, and how to evaluate your own style.",Leadership
ss,196,Developing Your Business Acumen,"Decision-making is a valued skill. Those who possess business acumen make business decisions that lead to success for their companies. In this course, you'll learn how developing your business acumen can enhance your decision making skills.
Expected Duration (hours)
0.3
Lesson ObjectivesDeveloping Your Business Acumen
recognize the key characteristics of people with strong business acumen
identify factors influencing your company's competitive advantage
identify examples of cost and revenue drivers
identify methods to develop an operational perspective that can help uncover opportunities for change or innovation
identify key techniques for improving your tactical thinking skills

Course Number:bs_apd20_a01_enus
Expertise Level
Everyone",Business Acumen
ss,198,Measuring Outcomes and Using KPIs,"To measure the outcomes of your company, you need to institute the most suitable performance measurement systems. In this course, you’ll learn about performance measurement systems and how to work with key performance indicators.
Expected Duration (hours)
0.3
Lesson ObjectivesMeasuring Outcomes and Using KPIs
There is no objective for the Course Overview
identify the advantages of using a performance measurement system
identify the attributes of good key performance indicators
identify what factors should be considered when choosing a performance measure
identify the steps for selecting appropriate key performance indicators
identify methods of defining the characteristics and criteria for a performance measure
Knowledge Check: Using Performance Measurement

Course Number:bs_ald10_a01_enus
Expertise Level
Everyone",Key Performance Indicators (KPIs)
ss,207,How Culture Impacts Communication,"With so much business happening on a global scale, cross-cultural communication is more important than ever before. Communication is always a challenge, and when diverse cultures interact, good communication can be even more challenging. In this course, you'll learn about the importance of achieving a proper mindset for cross-cultural communication. You'll explore aspects of cultures that affect how people communicate across cultural boundaries. You'll learn also considerations for speaking and writing in cross-cultural environments.",Communication Skills
ss,215,Developing an Effective Business Case,"Presenting a business case to the executives of your company is a daunting task. That's why you need to put time and effort into planning, writing, and presenting a winning business case. This course prepares learners interested in the development of effective business cases. You'll learn what a business case is and when one is used, how to align it with your company's goals, what research you need to do, and what information should be included in your business case. Finally, you'll learn how to present your business case to decision-makers.",Business Case Creation
ss,216,Writing Effective E-mails and Instant Messages,"E-mail has become an indispensable part of the way organizations communicate, conduct business, and maintain their operations. Knowing e-mail etiquette is key to using this business tool effectively. It can help ensure you get messages across quickly, appropriately, and concisely. This course introduces tried-and-true guidelines for e-mailing effectively, fundamental elements every e-mail should contain, and the importance of keeping e-mails concise. The course also covers the etiquette associated with using instant messaging programs as an extension of e-mail.",Writing
ss,220,Using the Parts of Speech,"The parts of speech are the building blocks of sentences, so learning about them can help you skillfully combine words into meaningful sentences. This course describes the eight parts of speech and shows how to use them effectively and correctly.",Business Writing
ss,221,Getting the Details Right: Spelling Basics,"Spelling errors are all too common. A wrong letter here, an extra letter there, and your reader loses faith. Knowing the rules, as well as the exceptions, when it comes to details like spelling can help you write clearly without errors. This course explains how to spell words with prefixes and suffixes, and how to form the plural and possessive forms of words. It also covers general rules on how to spell correctly and presents tips to help you become a better speller.",Business Writing
ss,222,"Abbreviating, Capitalizing, and Using Numbers","No doubt you've had to use abbreviations, capital letters, and numbers in your business writing. But are you using them correctly? This course presents the basic rules related to capital letters, abbreviations, and numbers. It covers abbreviations of titles, names, locations, and countries, as well as how to capitalize direct quotes, titles, names of organizations, and product names, among other elements. In addition, you will be introduced to the forms and uses of numbers with dates and time, money, fractions, and symbols.",Business Writing
ss,223,Using Punctuation Marks,"Punctuation is the collection of marks used to separate sentences and their parts. Appropriate punctuation will make your meaning clear and less likely to be misinterpreted. This course covers the standard rules and guidelines for using punctuation marks, including the correct use of periods, question marks, and exclamation points. It also covers how to correctly use commas, one of the most common punctuation marks. The course includes rules for using different connecting and separating marks, such as colons, semicolons, dashes, and hyphens. In addition, it shows how to properly use apostrophes, parentheses, brackets, and quotation marks.",Business Writing
ss,224,Creating Well-constructed Sentences,"Syntax is the grammatical term for arranging words to create logical phrases, clauses, and sentences. Well-constructed sentences express an idea by using the parts of speech in a logical and clear order. A misplaced modifier might get a chuckle out of the reader, but it doesn't help your reputation or that of your company. In this course, you'll review basic sentence construction, including how to develop sentences that are logical, clear, and powerful – the basis of any sound business document. The course examines the parts of a sentence – the subject and predicate, for example – and distinguishes between phrases and clauses. It shows the importance of subject-verb agreement, as well as agreement between pronouns and their antecedents. You'll also find out how to identify and fix some of the most common types of sentence errors.",Business Writing
ss,225,Troublesome Words and Phrases: Common Usage Mistakes in Writing,"The many nuances and conventions in the English language make it diverse and interesting but sometimes difficult too. It's a good idea to familiarize yourself with some of the most common errors of usage. This course describes how to use commonly confused words correctly, including word pairs that sound alike and those that have related meanings. It also covers verbs that are often misused – for example, affect and effect or apprise and appraise. In addition, the course reviews some idiomatic combinations of verbs and prepositions that can be confusing.",Business Writing
ss,226,Planning an Effective Presentation,"Concern about the impact of a presentation can inspire presenters to raise their game, enabling them to get the desired results. A presentation can be immeasurably improved if the presenter devotes sufficient time and attention to planning. In this course, you'll learn how to define and understand your audience's characteristics, knowledge, needs, and responses. You'll also learn how to organize your presentation's timing, purpose, key points, and approach. Finally, you'll learn about different presentation methods and when they're most effectively used.",Presentation Skills
ss,227,Building Your Presentation,"For a presentation to be effective, it needs to have a sound structure. To ensure that your presentation has this structure, you should transform your ideas about its purpose, audience, and key points into notes and aids that will guide you. In this course, you'll learn how to write the key parts of a presentation so they're memorable and effective. You'll also learn how to select and use presentation and visual aids. Finally, you'll learn how to rehearse your presentation – a key step in building confidence for the real thing.",Presentation Skills
ss,228,Ensuring Successful Presentation Delivery,"Presentation excellence can be achieved when the standard of your delivery matches the quality of your content. Having diligently prepared for your presentation, you need to make sure that your delivery is engaging, enthusiastic, composed, and confident. In this course, you'll learn how to set up the right environment for your presentation. You'll also learn techniques for managing stage fright and using your voice and body language to deliver your message clearly and effectively. Finally, you'll learn about how to deal with audience questions in a Q&A; session and the impact this has on your credibility.",Presentation Skills
ss,229,The Art and Science of Communication,"There is a science behind communication, including how we react neuro-physiologically to others – their actions, words, tone, and body language. You can develop skills in connecting with others so that your communication intention is clear and understood. There's also an art to communication, allowing your authentic self to shine through and allowing the exchange with another person to unfold naturally. Interpersonal communication is complicated: there's more than just one conversation happening. There is what you're thinking and saying as well as what your audience is thinking and saying. This course will teach you the art and science of communication by discussing how to connect with your audience and how to enhance and strengthen that connection as you communicate.",Communication Skills
ss,230,Making an Impact with Non-verbal Communication,"To our earliest ancestors, non-verbal communication was communication! The primitive parts of our brains are still wired to respond automatically when we're afraid, threatened, disgusted, surprised, or happy. But we've come a long way in our development and understanding of our brain's ability to respond and communicate in valuable, non-verbal ways. In this course, you will find out how our attitude, posture, gestures, facial expressions, and tone have great impact on our communication.",Communication Skills
ss,231,Trust Building through Effective Communication,"Communication is most effective when you build and maintain the trust of the people you communicate with. In this course, you'll explore how a clear intention is the basis of an effective communication, and how understanding your audience ensures that the message gets delivered. You'll also learn how body language, vocal tone, and managing emotions can influence your communications and build trust with your audience.",Communication Skills
ss,232,Choosing the Right Interpersonal Communication Method to Make Your Point,"Today there are more communication methods than ever before. Choosing the right method for the situation can have a huge impact on how your method is received. The further you stray from communication methods that are rich in personal attributes, the more likely it will result in a one-way communication. In this course, you'll learn how to select the best communication methods to convey your intention and target your audience. By doing so, you improve the odds of getting your message across and leaving your audience feeling informed, enlightened, and engaged.",Communication Skills
ss,233,Become a Great Listener,"When communicating, the response from the communication recipient is as important as the message that's given. When you're on the receiving end of a communication, you have the responsibility to be receptive and understand what was intended. This requires two essential skills: listening and questioning. In this course, you'll work on sharpening those skills, as well as getting yourself in the right receptive mind-set for communicating.",Communication Skills
ss,234,Do We Have a Failure to Communicate?,"Communicating effectively can be challenging when the message is difficult. Because these challenges typically involve emotions such as hurt, anger, or confusion, it's not uncommon for people to avoid one another or shut down, preventing what could be a productive exchange at many levels. In this course, you'll examine some common communication challenges and how you can successfully navigate them. By showing patience, perseverance, and accountability, you can get communication back on track and reach mutual understanding and agreement.",Communication Skills
ss,235,Listening Even When it's Difficult to Listen,"Successful people are generally trained, excellent listeners. In this course, you'll learn common misconceptions about listening, how to hone your listening skills, and what to do when you encounter roadblocks to listening.",Listening
ss,236,Using Active Listening in Workplace Situations,"Active listening skills are used by professionals in a wide range of occupations to enhance their work. In this course, you'll learn listening skills that can help in the workplace, and techniques for becoming an effective active listener.",Listening
ss,237,The Many Approaches to Facing Workplace Conflict,"When facing conflict at work, you need to adapt to the situation. In this course, you'll learn about conflict styles, when to use them, and when to adapt your style. You'll also learn how to handle conflict with difficult individuals.",Conflict Management
ss,238,Facing and Resolving Conflict in the Workplace,"Workplace conflict won't go away on its own; you need a plan to address it. In this course, you'll learn about sources and signs of conflict, a process for resolving it, and ways to get the process back on track if difficulties arise.",Conflict Management
ss,239,The First Steps in Negotiating,"When negotiating, it's important not to get too caught up in taking a side. In this course, you'll learn to focus on the issue at hand, communicate effectively, use common best practices, and overcome challenges.",Negotiation Skills
ss,240,Negotiating the Best Solution,"Reaching an agreement is the goal of a negotiation. This course will help you build critical components of a good negotiating relationship, think creatively about solutions, and facilitate agreements.",Negotiation Skills
ss,246,Acting with Diplomacy and Tact,"People who communicate with diplomacy and tact are able to inspire confidence. In this course, you'll learn about developing diplomacy and tact, avoiding meltdowns and apologizing, developing empathy, and removing personal biases.",Communication Skills
ss,247,Navigating Challenging Situations with Diplomacy and Tact,"You'll likely face unpleasant situations or tasks at some point in your career. In this course, you'll learn to navigate difficult work relationships, write diplomatic and tactful e-mails, and handle angry and manipulative coworkers.",Communication Skills
ss,249,Improving Your Technical Writing Skills,"Technical writing is a skill. It involves producing technical documents that are suited to the requirements, comprehension level, and background of its readers. In this course, you'll learn how to avoid common writing pitfalls, and how to structure your writing effectively. You'll find out how to tailor your writing to the specific requirements of different types of technical material – so that whether you want to persuade or to instruct, you'll be able to achieve your writing goals.",Writing
ss,250,Communicating with Confidence,"In business, effective communication depends not just on what you say, but how you say it. In this course, you'll learn about being an effective speaker, overcoming nervousness, preparing effectively, and using your voice and body language.
Expected Duration (hours)
0.3
Lesson ObjectivesCommunicating with Confidence
recognize factors that determine a speaker's effectiveness in business settings
identify techniques for overcoming nervousness about speaking in front of others
recognize steps for preparing content for effective communication
recognize methods for using your voice effectively in business communications
identify ways to use body language to communicate confidently and effectively

Course Number:bs_acm18_a01_enus
Expertise Level
Everyone",Communication Skills
ss,260,Organize Your Physical and Digital Workspace,"Removing the mess from your workspace and getting organized can significantly improve many aspects of your work day, including your ability to concentrate, achieve targets, and become more efficient. This course will help you increase your productivity by showing you how to organize and maintain both your physical and digital workspace. You'll learn how creating a clutter-free workspace and effective filing can improve your productivity. But it's not just your physical workspace that needs decluttering; this course will show you how to manage digital files, which is just as important. And once you've gotten your workspace under control, you'll learn how to maintain it.",Productivity Improvement
ss,261,Avoid Procrastination by Getting Organized Instead,"The last time you were faced with a list of tasks, which one did you do first? Was it the most difficult? Was it a random choice, or did you choose the easiest task first? The latter points toward procrastination – a habit that causes urgent and difficult tasks to pile up as you avoid them. Procrastinators typically focus on the reasons not to do something, rather than just doing it. Don't think about working more hours, think about working better hours. Use your time to get organized and avoid procrastination. In this course, you'll discover some tips to become more organized and combat time wasters. You'll learn about the causes of procrastination, and the ways to develop your self-discipline. You'll also learn how to set your priorities and know when to say yes to a new task and when to say no.",Productivity Improvement
ss,262,Maximize Your Productivity by Managing Time and Tasks,"The amount of time available to you is constant – you can't buy more and you can't save it for later. What you can do is increase your productivity – the value you produce in the time you have. And the better you understand your own personal productivity, the easier it will be to manage your time effectively. In this course, you'll learn about managing tasks in a way that maximizes your productivity. You'll discover the benefits of setting goals and how productivity is tied to your ability to assess time and set priorities. You'll learn about the process of ""chunking"" your time and the principles of efficient scheduling. You'll also learn about the different types of to-do lists and how to use them effectively.",Productivity Improvement
ss,263,Achieve Productivity in Your Personal Life,"A busy personal life has a direct correlation to your productivity level at your job. Get control of your tasks at home and that will help your productivity level at work, making you better able to stick to schedules and meet deadlines by reducing the stress and distractions that come from trying to juggle home and work at the same time. In this course, you’ll explore some tips for getting yourself and your family out the door in the morning, as well as managing areas of your life such as personal appointments, personal organization, parental responsibilities, and your personal health and well-being.",Productivity Improvement
ss,274,Developing a Plan to Further Your Career,"The whole notion of what a career is has changed. You are now responsible for making your own career choices, and it's not always clear which way offers the straightest path toward your goal. This course guides you through the process of taking inventory of your values, interests, skills, and needs. Then based on these findings, you can determine your strengths. This course also provides tips on how to deal with any weaknesses that are holding you back. You will also learn how to develop and implement your action plan to further your career.",Career Development
ss,275,Getting Your Career on the Right Track,"Exploring your career options is an important part of staying on the right track. If you know where you want to go, you can take the steps to reach your goals. This course discusses the options available when you're trying to get your career on the right track. You'll discover how to make successful in-house job changes, as well as how to make lateral moves in the same company. You'll find out about approaches for creating and implementing an effective promotion plan, and learn the best ways to ask for assignments that will move your career forward. You'll also discover ways you can successfully move on to a different employer if you've exhausted all your options at your current place of work.",Career Development
ss,276,Using Performance Appraisals to Advance Your Career,"Employees often don't recognize the opportunities they can harness from their performance appraisals. In this course, you'll discover the value of learning how to manage the performance appraisal process on a year-round basis, and you'll be given tips for using formal and informal performance appraisals to your best advantage. This course also outlines how to implement the periodic appraisal strategy to move your career forward, and ways to recognize and use constructive criticism to improve your chances of success.",Career Development
ss,278,Writing and Preparing an Effective Speech,"Not everybody is a natural public speaker. Some people are more eloquent and outgoing than others, but that doesn't automatically mean they can deliver an effective speech. In fact, public speaking requires significant planning and preparation. It's a learnable skill. This course teaches you how to prepare for public speaking, including determining your objective and audience profile, choosing your topic, and defining the theme of your speech. It also describes best practices to follow when planning, researching, and writing your speech.",Public Speaking
ss,279,Conquering the Challenges of Public Speaking,"Being a competent public speaker allows you to showcase your work and communicate effectively. You won't convey your message – despite spending hours honing it – if you fail to engage your audience, handle audience challenges that arise, and tackle nerves and anxiety. This course explores methods for delivering an effective speech, such as making a good first impression and building rapport with your audience. It discusses techniques for handling challenges during a speech, such as reviving an audience's focus and handling difficult questions or hecklers. Finally, the course introduces strategies to overcome public speaking anxiety.",Public Speaking
ss,280,Unleashing Personal and Team Creativity,"Believe it or not, everyone has the potential to be creative. If you're struggling to express your creativity then something is getting in the way. The good news is that these barriers can be overcome. At work, it can be especially difficult for individuals to express themselves freely and interact in teams. But with the right approach and techniques, team leaders can provide a safe space that allows everyone to share and contribute their ideas.This course describes personal barriers to creativity and how to overcome them. It provides strategies for enhancing creativity in the workplace. In addition, it outlines key requirements for promoting creativity in a work environment. And it explores techniques for fostering creativity in teams, including brainstorming and role playing.",Creativity
ss,281,Verifying and Building on Creative Ideas,"The initial stages of idea generation require an open approach uninhibited by rationale and critique. But sometimes to put those ideas into practice, you need to make sure they'll actually work. This involves checking whether they're grounded in reality and feasible from an organizational viewpoint. Some techniques that can help verify ideas are getting the opinions of key people and using simulations. Building on ideas continues the verifying process by making them more clear, relevant, and practical. This course covers a variety of techniques used to verify and build on creative ideas. It outlines when to use research and when to use simulations to check the workability of an idea. In addition, it discusses ways to build on ideas effectively.",Creativity
ss,282,Aligning Goals and Priorities to Manage Time,"Meeting targets and achieving goals consistently regardless of the business situation isn't easy. A big part of doing this successfully is managing time effectively. In this course, you'll learn why it's important to align your goals with your company's goals, and you'll learn how to do it with a goal alignment worksheet. You'll also learn how to ask questions to clarify goals, and how to establish and prioritize priorities based on these goals.",Time Management
ss,283,Make the Time You Need: Get Organized,"You don't have to manage your time, but the stress and potential for mistakes grows when you don't. To manage time, you need to be organized. In this course, you'll learn strategies for improving your productivity depending on what type of time management personality you have. You'll also learn how to deal with time stealers, create manageable to-do lists, and maintain an organized time management approach.",Time Management
ss,284,The Art of Staying Focused,"Even if you know what's important to do and have an organized time management routine, losing focus can stop your progress in its tracks. In this course, you'll learn strategies for dealing with focus challenges and distractions at work. You'll also explore ways of saying no, and consider ways in which you can adjust your focus in response to changing circumstances or emergencies. And you'll learn how to refocus when something causes you to lose focus.",Time Management
ss,295,Getting to the Root of a Problem,"Articulating a problem requires asking the right people the right questions. In this course, you'll learn about identifying stakeholders, gaining their input and trust, and using analysis techniques to get to the root cause of a problem.",Problem Identification
ss,296,Defining Alternative Solutions to a Problem,"Part of problem solving is creating alternative solutions. In this course, you'll learn how to define ideal states and generate and evaluate problem solutions. You'll also learn how to recognize and avoid common problem-solving pitfalls.",Problem Solving
ss,297,Choosing and Using the Best Solution,"The time has come to make a final decision. In this course, you'll learn how to make smart decisions based on key criteria and decision-making styles. You'll also learn how to plan, manage, evaluate, and celebrate solution implementation.",Problem Solving
ss,298,Confronting Your Assumptions,"Assumptions are necessary to help us make sense of our world. This course defines what assumptions are, describes how different kinds of assumptions may be challenged, and covers the importance of seeking out other people's perspectives.",Critical Thinking
ss,299,Investigating Arguments,"In critical thinking, an argument is part of reaching a logical conclusion. In this course, you'll learn to identify and judge arguments, recognize logical fallacies and persuasion techniques, and make effective arguments of your own.",Critical Thinking
ss,300,Reaching Sound Conclusions,"When drawing conclusions, you analyze and weigh the data and information you have to support taking action. In this course, you'll learn about the process of drawing a logical conclusion with the help of questions and diagramming tools.",Critical Thinking
ss,308,Ethics and Project Management,"Do the right thing but make sure you do it on time, under budget, and within scope, all the while maintaining your professional integrity in a constantly evolving global business environment. How do project managers do it, given that most ethical dilemmas are not black and white and usually require diligent deliberation? This course provides an introduction to how the project management community and the Project Management Institute (PMI®) have established standards of ethics to help members navigate the sometimes murky waters of ethical issues, keeping with the vision of establishing project management as a professional industry.",Project Management
ss,310,Agile Principles and Methodologies,"Agile projects use of short work iterations and incremental development of products that focus on business priorities and customer value. In this course, you'll learn fundamental Agile concepts, including the eight Agile values and twelve Agile principles. This course also covers the five phases of the Agile project management model, and introduces you to the most common Agile methodologies and frameworks. Finally, this course introduces key activities for managing an Agile project, including creating a product vision and project charter, and best contract and documentation types. This course is one of a series in the Skillsoft learning path that covers the objectives for the PMI Agile Certified Practitioner (PMI-ACP)® exam. PMI-ACP is a registered mark of the Project Management Institute, Inc.",Agile Development
ss,311,Agile Project Planning,"Properly estimating and prioritizing project requirements is critical to Agile project planning success. You need to be able to map out the work necessary for your product release. In this course you'll learn about critical Agile planning activities including creating personas and wireframing. This course also covers the most common Agile estimation techniques such as story points, wideband Delphi, and affinity estimation. This course also covers requirements prioritization methods and activities you perform when completing your release plan. This course is one of a series in the Skillsoft learning path that covers the objectives for the PMI Agile Certified Practitioner (PMI-ACP)® exam.PMI-ACP is a registered mark of the Project Management Institute, Inc.",Agile Development
ss,312,Agile Project Scheduling and Monitoring,"Wouldn't it be great if projects managed themselves once you get them started? This isn't the case. Successful Agile projects require adequate scheduling and monitoring, which helps identify any adjustments that need to be made, and ensures project work goes smoothly. In this course you'll learn about effective Agile project scheduling activities like setting work in progress limits and implementing project buffers. This course also covers recommended processes for monitoring and tracking progress at both the iteration and project level. This course also introduces you to key risk management and product quality, testing, and integration strategies to help ensure your project creates and maintains the intended value as it progresses. This course is one of a series in the Skillsoft learning path that covers the objectives for the PMI Agile Certified Practitioner (PMI-ACP)® exam. PMI-ACP is a registered mark of the Project Management Institute, Inc.",Agile Development
ss,313,Agile Stakeholder Engagement and Team Development,"Agile projects are only successful if the Agile team is cohesive, productive, and engaged. Strong project managers encourage active involvement to ensure the team has a clear understanding of the project requirements and stakeholder expectations. In this course you'll learn about Agile teams and team leadership, including the characteristics of an effective Agile team. This course also introduces you to common team development strategies, and developmental mastery models. Finally this course covers effective communication tools and the benefits of using facilitation techniques like Agile games to foster collaboration and cooperation in the Agile team. This course is one of a series in the Skillsoft learning path that covers the objectives for the PMI Agile Certified Practitioner (PMI-ACP)® exam.PMI-ACP is a registered mark of the Project Management Institute, Inc.",Agile Development
ss,325,Finding Your Bearings as a Project Manager,"If you would like to learn the basics of what it means to lead a project – without all the technical jargon – this course is for you. You'll learn some of the foundational concepts, such as what a project is and what you'll be responsible for, and things you'll need to understand before planning begins. You'll also learn where to go to access useful information and how to identify the different types of people who will have an interest in the project – its stakeholders.",Project Management
ss,326,Getting the Big Picture by Defining the Project's Scope and Team,"At the start of any project – before you plan the budget or create the schedule – you need to develop a clear vision of what you want to achieve and how you'll get there. That involves clarifying what stakeholders expect to see in the end, all the tasks that will need to be carried out, the resources you will need, and who will be doing the work. In this course, you will learn how to nail down all those big-picture details so that your project gets off on the right foot.",Project Management
ss,327,Mastering the Details of a Project's Schedule and Budget,"Once a project’s scope has been clearly defined with all necessary tasks identified, it's time to get into more detailed estimating and planning. Drawing on all the information from the initiation phase, you must now define how much time and money will be required to meet objectives and complete the project. In this course, you will learn how to develop the schedule and cost baselines and use them to monitor and measure performance throughout the project.",Project Management
ss,328,Managing a Project to Minimize Risk and Maximize Quality,"When starting a project, there are many things to consider. One key area is risk. You need to prepare ahead of time for all the things that could go wrong…or go right! Another key area is quality. How are you going to ensure that your product or service meets stakeholders' expectations? And then there's figuring out whether to do all the work in-house or outsource it to a third party. And how do you choose the vendors who will partner with you to minimize risk and maximize quality? This course will help you sort out all these considerations by explaining common methods and best practices related to managing risk, quality, and procurement.",Project Management
ss,329,Navigating through Changes and Conflicts in Projects,"Of all the different types of skills and competencies a project manager uses, soft skills are the most important. The ability to communicate effectively with team members and negotiate between conflicting demands so stakeholders remain positive can mean the difference between success and failure. In this course, you'll learn how to handle it when someone requests a change to the project, how to create a plan for communicating with stakeholders, and approaches for dealing with conflicts that arise.",Project Management
ss,330,Taking Final Steps to Bring a Project to its Close,"We'd all like to think that good scheduling and budgeting will ensure a project will stay on track until completion. The truth is, most projects go a little astray at some point along the way. In this course, you'll learn some tricks for correcting schedule variances and how to determine if your project is over or under budget. You'll also learn how to tell whether your project should be canceled and how to bring a healthy project to a successful close.",Project Management
